Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.198924765230454,inf,0.14810025086183,0.061504746527328236,-1.6125886815968427
Random Forest Regressor,0.029029356856603225,,0.06391712674309134,0.004928102650600418,0.7906648521673805
TPOT Regressor,0.020682754274130303,,0.049772751637537464,0.0029051031299360437,0.876597498816289
Support Vector Regressor,0.0950830401226983,inf,0.09153848089771069,0.017420078004035205,0.26003274225909545
Kernel Ridge Regressor,0.0799968921462911,inf,0.08939653932444004,0.014391243996251489,0.38869106367263606
K-NN Regressor,0.10144715131855116,,0.10011066667103773,0.020313670091968643,0.13711920525697063
Gaussian Process Regressor,0.08650071730457787,inf,0.09038170182080597,0.015651226118231578,0.33516974675383693
Gradient Boosting Regressor,0.05566918522262459,inf,0.07476522665828406,0.008688897300615473,0.630914424904444
Ensemble Model,0.023440388679829286,inf,0.04969572221682376,0.0030191166281131796,0.8717544518694246
