	ACCOAC	MDH	PTAr	CS	ACACT1r	PPC	PPCK	PFL	Isoprenol [mM]
64	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.6917806459457638
65	2.0	0.0	0.0	1.0	2.0	2.0	2.0	1.0	0.6879979188293072
66	1.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	0.6871902269282525
67	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.6874335152288146
68	2.0	1.0	2.0	1.0	2.0	2.0	0.0	1.0	0.6888670729944264
69	2.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.681862206673507
70	1.0	1.0	2.0	1.0	2.0	2.0	0.0	2.0	0.6883308483239964
71	1.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	0.68557395291803
72	2.0	1.0	1.0	1.0	2.0	1.0	2.0	0.0	0.6860853237937613
73	2.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	0.6891785537415909
74	2.0	0.0	2.0	1.0	2.0	2.0	0.0	0.0	0.68859593978991
75	1.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	0.6860192178134223
76	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.6817300178442164
77	2.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	0.6925389170432735
78	2.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	0.6862024105830596
79	1.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	0.6884684213450166
80	2.0	0.0	0.0	1.0	2.0	2.0	1.0	0.0	0.6881890574559413
81	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.686622408269252
82	1.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	0.6825765433026368
83	2.0	0.0	2.0	1.0	2.0	1.0	2.0	1.0	0.6934837375041206
84	2.0	0.0	1.0	1.0	2.0	2.0	0.0	1.0	0.6895385864804615
85	2.0	1.0	0.0	1.0	2.0	2.0	2.0	0.0	0.688353804559186
86	1.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.6882955426107864
87	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	0.683092891693688
88	1.0	0.0	1.0	1.0	2.0	1.0	0.0	2.0	0.6870235325790748
89	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	0.22063739230994134
90	2.0	1.0	2.0	1.0	2.0	2.0	0.0	0.0	0.6893853604490191
91	1.0	0.0	0.0	1.0	2.0	2.0	2.0	2.0	0.6889862834548904
92	1.0	0.0	0.0	1.0	2.0	1.0	2.0	1.0	0.686260157668608
93	1.0	1.0	2.0	1.0	2.0	2.0	0.0	1.0	0.6891607645756389
94	2.0	1.0	1.0	1.0	2.0	2.0	0.0	1.0	0.6899162666640265
95	2.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	0.6933243588455281
