Unnamed: 0,ACCOAC,MDH,PTAr,CS,ACACT1r,PPC,PPCK,PFL,Isoprenol [mM] Pred,Isoprenol [mM]
64,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6917806459457638,0.7207987105864377
65,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.6879979188293072,0.7396577174432005
66,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.6871902269282525,0.6479884504037337
67,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.6874335152288146,0.7221641380393865
68,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.6888670729944264,0.6470498864390198
69,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.681862206673507,0.6554195791251991
70,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.6883308483239964,0.6570147189797628
71,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.68557395291803,0.6505648591544537
72,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.6860853237937613,0.7108792131836225
73,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.6891785537415909,0.768143414363524
74,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.6885959397899101,0.7589042159428852
75,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.6860192178134223,0.6559501623825089
76,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.6817300178442164,0.7004851096994769
77,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6925389170432735,0.6466242162990705
78,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.6862024105830596,0.6363748446004609
79,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.6884684213450166,0.6404911613115895
80,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.6881890574559413,0.7279375220486135
81,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.686622408269252,0.7320240590773187
82,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.6825765433026368,0.6561062569523568
83,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.6934837375041206,0.6283795576480118
84,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.6895385864804615,0.767294567438054
85,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.6883538045591862,0.6146214479165697
86,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.6882955426107864,0.7309348422044286
87,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.683092891693688,0.7121923401607831
88,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.6870235325790748,0.6388707378639253
89,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.22063739230994134,0.2861111897052834
90,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.6893853604490191,0.6341836830988383
91,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.6889862834548904,0.7539511842651312
92,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.6862601576686079,0.6559501623825089
93,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.6891607645756389,0.648007419146468
94,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.6899162666640265,0.6390176145332579
95,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.6933243588455281,0.6466242162990705
